17,0,18
46,15,14
15,46,45
26,25,16
26,45,25
15,26,16
26,15,45
10,55,11
13,35,14
35,46,14
46,35,47
35,29,47
29,35,30
46,44,45
25,44,24
45,44,25
44,23,24
44,46,47
48,5,4
3,48,4
48,49,60
58,7,6
7,58,8
29,42,47
12,54,13
54,35,13
55,54,11
54,12,11
30,33,32
59,48,60
59,58,6
5,59,6
48,59,5
44,43,23
23,43,22
43,42,22
43,44,47
42,43,47
21,23,22
19,37,18
42,27,22
27,21,22
21,27,39
31,49,48
31,3,2
31,48,3
31,30,32
31,29,30
54,53,35
56,10,9
10,56,55
33,50,32
50,33,51
50,31,32
31,50,49
59,67,58
50,67,49
49,67,60
67,59,60
21,20,23
20,19,24
23,20,24
20,37,19
36,17,18
37,36,18
0,36,1
17,36,0
38,21,39
38,20,21
20,38,37
28,42,29
28,27,42
39,28,29
27,28,39
33,52,51
64,54,55
64,53,54
56,57,62
58,57,8
57,9,8
57,56,9
66,57,58
57,66,62
62,66,51
40,39,29
31,40,29
40,38,39
38,40,37
53,34,35
52,34,53
34,52,33
35,34,30
34,33,30
65,62,51
52,65,51
65,56,62
67,61,58
61,66,58
66,61,51
61,50,51
61,67,50
41,36,37
40,41,37
41,2,1
36,41,1
41,31,2
41,40,31
63,52,53
63,65,52
64,63,53
63,64,55
56,63,55
65,63,56
